tips,ll
Do not park in the ambulance bays. It annoys the ambulance people. Remember : Walking is good for your health!,"51.5226029982,0.035297870636"
"Looking a bit better than it used to, but probably not advised to hang out too long here as you may be mistaken as a tramp","51.4899612448,0.0676774978638"
"Jakarta presents various international culinary delicacies for all to experience. To name only a few, you can try out American, Asian, Brazilian, British, Chinese, Deli, Dutch, European, French","51.508675,-0.137707"
You only need to get a Zones 1 to 3 if you get monthly travel cards and don't leave these zones in your general travel patterns.,"51.5775295963,-0.10523378849"
A very welcoming team :-),"51.4980337209,-0.156224535733"
Chopper Town,"51.4692651934,-0.178695371942"
By all means the best choice if you are exhibitor or visitor in Excel. For sure not for visiting London:),"51.5082994219,0.0352908623808"
Great location close to DLR station and convenient for City Airport,"51.5084958175,0.040701384633"
Bu otel şahane yemekler ise edare eder,"51.5075628545,0.0386287492786"
Nice view 🔝,"51.5072360448,0.0241658552705"
Heating system/air condition is not working well.I had to sleep with my polar yesterday night & it seems that it will be the same they couldn't fix it :(((,"51.5065679382,-0.00424885098572"
"Great value hotel, really well designed and has a very vibrant feel. Staff very friendly","51.5084583182,0.0414877484197"
"Try one of the many local 'Indian' restaurants - well priced/tasty. I went to the Taste of India and enjoyed it. The Veg Meal was delicious at less than £7, plus ice-cream desert truly awesome!","51.5449996209,0.0496912164768"
Our location is on the Marina! Look out for Fraser Place and experience the pulse of Canary Wharf!,"51.5051699923,-0.0113063433626"
"Nice bar, comfortable beds","51.5012384292,-0.023376492763"
Half decent food. Great value. They should do more to promote the cafe / restaurant.,"51.5373743985,-0.0026238060189"
"Für ein Hotel, das 2015 eröffnet wurde, hat es zahlreiche Mängel: Lift ist seit Tagen außer Betrieb, der Getränkeautomat ebenso. Das Zimmer ist sehr sauber und modern, es fehlt ein Safe und Minibar.","51.5083917034,0.0433656319733"
"Nice hotel, great staff. I stay here quite often when in London. Definitely avoid basement rooms as they are not sound proof. You will be up all night hearing toilets flush.","51.4744251057,-0.0195054263507"
"Very clean and tidy hotel, staff friendly and polite. The restaurant was pleasant, the food good and the staff polite and attentive.","51.5079474645,0.0229910054924"
"Hotel and pub refurbished this year. Quite cosy and nice, close to the O2 !","51.4961290452,0.010196725386"
Basic hotel. Food is completely mediocre.,"51.5085206187,0.0421298300748"
Executive lounge is awesome,"51.5007847161,-0.0196856610546"
"Overlooking the Thames River, our stunning ballroom offers an exceptional space that can be personalised for the most charming of weddings and private events.  http://www.canaryriversideplaza.com/en","51.5067007456,-0.0275978275195"
Great location. Nice and comfy rooms. Peaceful and green. Perfect place to stay in London,"51.5115800848,-0.0416589715929"
"I really like this hotel for my London trips - good price, decent Cafe Rouge restaurant and for me a perfect location... I enjoy breakfast at the Thames River - Go to Paul Rhodes bakery!!!","51.4796300436,-0.00889205264199"
Lovely hotel very close to the 02 so perfect for if your catching something there. Also just up the road is a great pub called The Pilot! :-),"51.4921254798,0.00926078354819"
It is situated in a very central location. Close to the Stratford Station and Westfield Shopping Centre. It has many things around..,"51.5421931748,0.00458190742237"
Cozy area on the ground floor. Rooms are verry small!,"51.5077191917,0.0195656829199"
Lovely gastro pub. Very cosy,"51.5269316515,-0.0300849040565"
Great food and family place. Has a lovely big beer garden.,"51.4530797599,-0.000357694213527"
Very handy for central Greenwich,"51.4810625944,-0.00670370000217"
It is a hotel not a hostel,"51.4801882797,-0.00954986300844"
Solid hotel for a solid price. Location central within beautiful Woolwich.,"51.492283,0.063094"
Odaları geniş ve ferah sessiz sakin bir hotel,"51.5312382479,0.148799233139"
Don't stay here in a heatwave! No A/C = no sleep!,"51.5151908717,0.0609049201012"
Perfect for when seeing events at the London 02. I found the staff helpful and the hotel great value for money.,"51.5078892836,0.0224992847522"
"A newly rebuilt hotel, so (still) clean & tidy. Not many car-parking spaces. Breakfast basic, e.g. sachet coffee. Attached pub had no draught bitter two nights on the trot.","51.5450085866,0.049480643114"
Well... The apts are a bit worn out and cleaning service has lots or room for improvement. No AC you have to rent a unit for 25 pounds a day.,"51.5005273026,-0.0254728649537"
"If you can then DON'T stay here! Smelly rooms, lights not working in rooms, illiterate, rude staff and ZERO customer service!","51.5348250997,0.0706606861588"
Best not to rely on the hotel for an alarm call,"51.453915228,0.23961133672"
"Decent price for what's it worth, barebones hotel, breakfast wasn't half bad either.","51.5023212411,0.0412513035521"
The bar is open to non-residents and has free Jazz nights. What's not to like?,"51.4684406615,0.0103169198212"
"Lovely breakfast, lovely staff. A bit downside is noice from highway :-( ... in general very clean and good  value for money :-)","51.5336236905,0.0717403449085"
Brand new apartman hotel with nice staff!,"51.4742594269,-0.0231016514916"
No air con. It was probably the worst sleep I have had in a hotel. Way too hot,"51.5069469169,-0.00686867301542"
"Great Sunday roasts, lots on the plate :)","51.410996989,0.0766676150536"
In londen ^^,"51.5744149385,0.0856952369213"
Ask for a room away from the DL side if you want to sleep past 6am,"51.5084119176,0.038725733757"
"If you're hungry and looking for something small to eat, there's a red pathway at the barriers at the entrance, follow it round the back of the hotel and there is a small service garage there.","51.5041738582,0.0406886517234"
"Eat in the bar rather than the restaurant. Cheaper, better atmosphere and better food.","51.5043908209,-0.0331752062045"
"Comfort, ive stayed in many hotels the length and bredth of this island, none have been as comfy as Premier inns. This one, i have only found oe fault, a little close to the road. I'll be back 5*","51.5069594955,0.22603687515"
"Free WiFi at this hotel seems to be terribly slow. The expected speed is 0.23 Mbps as of August 7, 2014 (crowd-tested, not certified)","51.5105611987,-0.0435564328932"
Nice and cozy hotel. Rooms are clean and well furnitured. Just minute walk from tube station.,"51.5547247167,0.219418318212"
Fantastic valid and right next to the Custom House DLR stop. Very handy for trips into London.,"51.5100328379,0.0270800700558"
Nice hotel with small  halls.per snel friendly.,"51.5636353341,0.0706518433651"
Nice clean hotel and good breakfast,"51.580122,0.140686"
"É um hotel simples, com uma boa cama e um chuveiro! Um pouco longe do centro e dos pontos turísticos, mas fica super perto de uma estação de trem que da acesso ao metro! O custo beneficio é muito bom","51.563902,0.065913"
"New chef in residence in RG's restaurant and the food is amazing, Lamb 2 ways was extraordinary","51.4180989652,0.188872268764"
The Olympic Village and Exchange Shopping Plaza are conveniently located close to the hotel.,"51.564158,0.065573"
"Далеко от центра и аэропорта на метро 1,5 часа Такси в час пик до Хитроу 100 фунтов:(","51.5119197791,0.011305551873"
Bom hotel em relação qualidade/preço/localização,"51.5771262672,0.0681173804151"
If you like your room to be cold like me..... Forget about it..... And the room do get stuffy too.....,"51.4778978664,-0.0137101491276"
Friendly & helpful staff. Clean and spacious rooms.,"51.4859951315,0.264047590675"
"Value for money rooms, good fare in our restaurant with fair prices ... what could you ask? Smiles? Also included ;-) (Ed)","51.4568601826,0.256775728442"
"Convenient located at ExCel, extremely friendly staff. Never seen a hotel before where guests have access to a fully stocked fridge and kitchen","51.5141379272,0.0318205080338"
"Nice garden to drink in over looking the Thames, nice on a summers day!","51.4828394585,0.230981111526"
Excellent service. Very friendly staff.  Rooms are spacious. Good quality breakfast too although being in the Westfield centre there are cheaper options. The only let down is a lack of parking.,"51.5441059621,-0.0089019271012"
Excellent hotel and rates. Can recommend,"51.5071354581,-0.0213432894555"
Become our fan on Facebook https://www.facebook.com/Devonshire.Hotel.Hornchurch,"51.5577028264,0.220209360123"
Hardly any hairdryers..beds awfully bumpy..nice location,"51.58016,0.180895"
Don't buy a bottle water cost 7 pounds!!,"51.5361641439,-0.00450088405914"
There's a Tesco a bit further,"51.5135006328,-0.0428809819493"
"Good location and very reasonable for London. Does what it says on the tin, but get food elsewhere as there’s plenty to choose from","51.5368141656,-0.00371113587455"
Epsilon Hotel NYE London,"51.5426275366,0.00764013445506"
It's ok. Very conveniently close to the Stratford station. I don't mind the rooms are fairly small and it's not the best hotel but it's great for the price,"51.5425093968,0.00758272889906"
Nice hotel!,"51.549154,0.005135"
"Cheap, clean and has a pub on the ground floor! 👍","51.4862858985,0.0173428868251"
"Lovely, warmly place to stay. Staff very friendly... just the Internet very slow and something frustrating. Would love to come back again and hopefully the Internet would have improved","51.4758659364,-0.0198439691521"
Decent food for a Canary Wharf hotel,"51.5008943892,-0.019985594815"
Cash machine at hotel charges a fare.,"51.5080766189,0.0200092252947"
"Quite, amazing hotel. Totally new","51.4652411141,-0.0115304426686"
"Wifi (available), close to a busstop, close to a McDonalds, basic comfort","51.546761508,0.0290633735264"
It has a decent hotel too rooms r nice,"51.4444053551,0.216917846968"
"Bean to cup coffee, biscuits, mini doughnuts and a tasty lunch. It's like they are paying you to go to a course!","51.5062762773,-0.0267441604553"
"Friendly service, but not the place for couples to get a rest or sleep. The rooms were the worst seen in hostel so far in UK.","51.5043331679,-0.0463385410185"
Get down to breakfast early if you don't want to queue 50 minutes to eat!,"51.5017144975,-0.0236076487643"
"Roof top bar, cool setting, loads of seating, great views! Outdoor cinema, bowls, mini golf, baseball, roller disco, buy tix online. Food pop-ups, cocktail bar. Great for big groups and dates alike!","51.5418720922,-0.00119615665085"
Great place to stay in London. Comfortable hotel with delicious breakfast and careful family staff. Excellent English pub with reasonable prices of beer. Great way how to meet local people.,"51.545070127,5.55701671375e-05"
beware. 140 apartments. 14 parking spaces... Otherwise very nice. X,"51.544792297,0.000730473557775"
Do not try and find this place on foot in the dark.,"51.5119761957,-0.00343520257332"
A nice little escape if your staying in either of the Hotels.,"51.5087958794,0.0251269340515"
Very tiny room. Poor furniture.,"51.5277835197,-0.0211812086545"
Great place for a gig,"51.4762029585,-0.0227382176396"
Very expensive for a pint. Hotel prices -- not worth it as a local.,"51.5051755061,-0.0341387716179"
"Lived in the hotel upstairs. Very nice and clean rooms, helpful managers, good location. Pub downstairs was amazing))","51.545867431,0.00436309055808"
"One of the best hotel breakfasts I've ever had. Smoothies are good, hash browns and sausages are excellent! Love the honey from honeycomb as well, and the abundance of fruit and cereal selection.","51.5020109647,4.29153442383e-05"
"Make sure you're back at the main hotel before they lock up for the night, they don't have night staff to let you back in!!","51.3966745916,0.0591792077232"
very dirty common spaces and a very rude management!,"51.5110096751,-0.024828454114"
"BOXPARK features a really refreshing take on the mall concept. Though filled with essentially uninteresting shops, it offers reslky nice dining possibilities next to Shoreditch most vivid intersection","51.5235839582,-0.0761542685722"
Sort of vintage Paris meets Hanoi decor. Good Vietnamese style bagettes. Great place to people watch on the busy intersection.,"51.4171508825,-0.0816099323513"
"Get your sandwich to stay and sit at the window bar, people watch the crazy intersection on the strand.","51.5114573448,-0.118994208889"
Old Ford Lock can be found at the intersection of the road and the canal: go check it out!,"51.5351667233,-0.0337398688164"
"It's literally just a big traffic intersection with annoying billboards and crowds. Nothing to see here. Don't bother with it, go somewhere nice instead.","51.5100214472,-0.1342141141"
"To miss all of the crowds, walk down The Mall, the intersection of Marlborough street and The Mall.","51.5016882969,-0.140950260268"
An oasis of calm near one of  London's busiest intersections :),"51.5158634847,-0.142198353033"
Neat to see but ridiculously busy intersection.,"51.5320625465,-0.177268279138"
"With neither a roundabout nor a traffic island, in early 2014 Holborn Circus was made into a signal-controlled intersection.","51.5177162374,-0.10763168335"
"Greatly enjoyed a delicious eggs florentine and a flat white. Friendly staff, and (situated at an intersection) great for people-watching.","51.493395784,-0.15025760365"
Good intersection onto the Victoria line,"51.4722916219,-0.122826691673"
Confusing layout for an intersection,"51.4642463975,-0.170252461484"
Kingston station is built at the intersection of 3 ley lines. This is why platform 1 is not a through platform.,"51.4128619422,-0.301265716553"
If the DLR gets extended they plan to build an extension to Dagenham Dock from here,"51.5090380852,0.0717871290229"
"when leaving the train please remember to take some of your belongings with you. No wait, ALL of your belongings with you!!","51.5084193444,0.0640330970334"
"This station interchanges with the rail station, which can take you to Dartford via Abbey Wood.","51.4899760833,0.0683790672916"
Beautiful station!,"51.5020042862,0.0622701644897"
"Trains every 10 mins to Tower Gateway, and trains to Blackwall from 10am - 4pm","51.5143646311,0.0614601373672"
It's a good place to jump in front of the train...,"51.508764913,0.0550687097907"
Super convenient station for a super convenient airport. I've gone from sitting on plane to sitting on train in as little as 5 minutes!,"51.503575711,0.0483622578929"
It's easy to forget to touch your oyster card 'in' on the DLR... Lucky I am in no rush today!,"51.5084464844,0.0459894852198"
Should really be called Prince Regent for ExCel. But it isn't.,"51.5094552845,0.033498108387"
Turn right outside and the Esso station has a costa inside.,"51.5022747672,0.033146739006"
"For Bank, take the Tower Gateway and change at Westferry.","51.5096472614,0.0257652997971"
"There really is nothing to do here, beside catch a train.","51.5029461337,0.0222671663779"
Switch for Emirates Airline to North Greenwich. It is really worth to ride on it and taste instead of riding under Thames jump over it and see London from 90 meters above. Very different view indeed.,"51.5091453863,0.0179603211337"
I've just found out how you can have 1 week off every month and still be get a full income www.aShortVideo.co.uk,"51.5206870547,0.00428679591195"
"You can change here for DLR to Woolwich Arsenal via City Airport and for Jubilee Line, and soon DLR to Stratford International","51.5140159627,0.00824096103343"
"If Bank train is +5mins, take a Tower Hill train and change at West India Quay to increase options.","51.5093564864,-0.00228491573064"
Sorry Beatles fans. This is not THAT Abbey Road!,"51.5324693816,0.00371617415676"
"Time slows down when you try to use the lift, so avoid that","51.5079153877,-0.00706032705103"
Best place to get off for the London Stadium if you're going to The Carpenters Arms....COYI ⚒,"51.53751312,-0.000300939971599"
The old Poplar Baths is just outside the station (turn left). Quite an interesting old building.,"51.5108191377,-0.0130838155746"
If going to Northern or Central line at bank use front of train. Fir Circle and District use back of train,"51.4879971859,-0.0105196237564"
Go to the steam ship pub at leamouth round about on a Friday night it's blinding,"51.5151942352,-0.0144443622224"
"Millwall is named after the windmills that once lined the western edge of the Isle of Dogs. Millwall Football Club was formed in 1885 by local factory workers, but moved across the river in 1910.","51.4961179218,-0.0144493780086"
"For Stratford, change at Canary Wharf if no through train is shown.","51.4815853139,-0.0107648229916"
If you are lucky you might see Sammy the seal having a swim,"51.5000340673,-0.0164043903351"
Get off here and cross the road bridge to canary wharf rather than changing dlr.  faster.,"51.5076666511,-0.017220417129"
This area gets its name because it’s where all the mud was dumped when the Millwall Docks were dredged in the 1860s. It’s now home to the largest urban farm in Britain.,"51.4912238094,-0.0149613618851"
Tip: Don't bother with stairs to switch platforms. Jump through the trains as doors open both sides. My record is 4.,"51.5049494376,-0.0210499763489"
Beware! The ticket machines are often broken,"51.5224194815,-0.0173649926262"
The lamppost right by the entrance is the tallest lamppost in the world fact,"51.5339633577,-0.014221072197"
"London’s first purpose-built docks were built here in 1802, cutting the area off from the shore and creating the ‘Isle’ of Dogs. At the time they were the largest dockyards in the world.","51.5068933469,-0.0206490484666"
Hode behind the elevator waiting area when windy. ;),"51.5035419252,-0.0206171880406"
Take the exit of platform 2 to the centre of Greenwich. It's much faster if you know where your going!,"51.478138871,-0.0143444538116"
See people running for the jubilee line? Join in!,"51.5411384945,-0.00321921218331"
Exit here for TapEast,"51.5457070919,-0.00907175709915"
"No. 25 swaps drivers here , can take ages !","51.5277066433,-0.0208161278232"
Its a really important station if you are on a train to Lewisham and you are not going in that direction...as I found out.,"51.5094095909,-0.0267010556317"
"If you sit at the front, you can pretend you're driving.","51.4647793392,-0.0132858016444"
"Probably the most randomly placed DLR station. Just a few metres from Lewis am, and they had to destroy houses to build it.","51.4687500488,-0.0163884525306"
"Not worth ducking the oyster touch in & out policy, DLR trains are checked (annoyingly) regularly. Also the ETAs for trains on the downstairs screens are often incorrect - best to check TFL online!","51.4742748058,-0.022506415844"
"If you're going to fart in the lift, at least do it silently.","51.5125351642,-0.0398468971252"
"Deptford was the birthplace of the Royal Navy, with royal docks established here by Henry VIII in 1513. Francis Drake set off in the Golden Hinde to circumnavigate the globe from here in 1577.","51.4788170951,-0.0263071060181"
Not a lot of choices here. East or West on the District. Take your pick.,"51.5403351726,0.127061442224"
Upney!? Up yours!!,"51.5382974073,0.100624420808"
The classical music being played is to make young hoodies reluctant to hang around the station. (Fear the day of hoodies with taste that are encouraged by such measures.),"51.5415845516,0.146745409399"
"Only ever pass through, do not stop","51.5441112048,0.165448120027"
"Stop here for fried chicken. Not that it's good, it's just that you'll pick up the stench passing through so you might as well have or on your breath as well as your clothes.","51.5397586135,0.0804481738007"
"If heading westbound on the Hammersmith & City Line and you're not pressed for time, travel one stop eastbound to Barking first, then head west and bag yourself a near-guaranteed seat for the journey","51.539191328,0.0518357387039"
Sick of it. Lol,"51.5352919603,0.0345969004213"
Great underground station accessible to Chadwell Heath and Goodmayes customers. You just have to take a bus :),"51.5757611676,0.0899570684775"
"Look out for the signs that this was once a London, Tilbury and Southend station.","51.5312884056,0.0172212458223"
Recunnect Ltd organizes senior networking events in the pharma and maritime sector.,"51.5539500371,0.218463854851"
"You can change here for DLR to Woolwich Arsenal via City Airport and for Jubilee Line, and soon DLR to Stratford International","51.5140159627,0.00824096103343"
At around 7:42 on weekdays there is an empty train to Wembly Park on the Jubilee line because it comes straight from the depot.,"51.5285222219,0.00516612610354"
A two-way tube line but the station has three platfoms,"51.5003947239,0.00361561775208"
"If you happen to see all three elevators working, remember that rare moment and say thank you to the staff.","51.5766022715,0.0664068318675"
"The large bridge to the north of the station, over the Jubilee Line, carries Thames Water's Northern Outfall Sewer.","51.5274019891,0.00448764848792"
Watch football matches at the Barkingside Rec next door from the platform bridge,"51.5853918142,0.0885901875075"
"If travelling Westbound, walk down the platform before the train arrives and you'll probably get a seat.","51.5763010948,0.0453668832779"
See people running for the jubilee line? Join in!,"51.5411384945,-0.00321921218331"
There's no ham on the Hammersmith and City line :(,"51.5246965166,-0.0121051819578"
Surely a candidate for most impressive London Underground station.,"51.5035883873,-0.019020048608"
RIP Dan Harris (@gecko84) who was knocked over by an Olympic bus on 01/08/12. He once stole mayor of this station from me. I had fun battling against him for mayor xxx,"51.5756958336,0.0286919033154"
In the subway you can see murals about the films of Alfred Hitchcock.,"51.5684840499,0.00843929434343"
"A rare tube station with toilets on platform! Men's on the Eastbound, Women's on the Westbound.","51.5567491075,-0.00522842400487"
"Don't bother keeping left, it's like all crazy at Bow Road station.","51.5269583473,-0.0251574882527"
If you see a westbound train crossing the bridge you have 1 minute until the next eastbound train departs,"51.5814862813,0.0244745340296"
"Turn right when you exit. Head down the 2nd road on your right (Southern Grove) and pay a visit to a very cool place...Tower Hamlets Cemetery Park. It will blow you away, a gem in the Borough.","51.5253068793,-0.0334587794533"
The Ladies Waiting Room is sooo warm for tube waiting in the winter time!,"51.5915383618,0.0274055033727"
Don't expect the District Line to actually turn up when you need it. That would be foolish.,"51.5218604827,-0.0467305043941"
Goes from Cranham to Romford very frequently.,"51.5615932191,0.218585768252"
Check out the original Banksy on the ground floor and ask someone about its story,"51.5137008052,-0.134307422716"
Try the Dial Arch for a few good beers,"51.4959325186,0.0708951467169"
James Bond's Q-Boat re-enters the Thames directly opposite the O2 Arena/Millenium Dome from Cape Henry Court in The World Is Not Enough (1999).,"51.5080880516,0.00836849212646"
"Try saying ""gren ich"" not ""green witch"" if you're a tourist","51.4836813036,-0.00924825668335"
"Next to the North Greenwich Pier, formerly named QEII Pier after Queen Elizabeth II, is Antony Gormley's Quantum Cloud. It is meant to show a human being if viewed from the correct angle.","51.5020920708,0.00878743278531"
Thames Clippers now take Oyster cards.,"51.505311734,-0.0287039014846"
Ferries run regularly so there is only a short wait,"51.4945774915,0.0612266813673"
"22 August: In Victorian times, Erith attempted to style itself as an upmarket pleasure resort, with visitors arriving by paddle steamer to its deep water pier from Central London.","51.4818174964,0.18603045618"
Only way to travel once the sun comes out...,"51.4947286935,-0.0317620528949"
Only a little shelter for pedestrians,"51.4980504049,0.0597703456879"
"If you are approaching the north access, be really careful you don't miss the left filter for the pier on the A117.  Road signs here are rubbish.","51.4961868859,0.0622272491455"
"Brunel’s monster ship, the SS Great Eastern (for 40 years the biggest ship ever built) was launched here in 1858. You can still see the remains of the slipway. The ship was a financial disaster.","51.487607609,-0.0223636318385"
"1 July: Walk over the Mile End Green Bridge, created by architect Piers Gough following a £12.3 million grant from the Millennium Commission. Each day 75,000 cars pass beneath it.","51.524912678,-0.0354695320129"
"[Booth seats] If a few of you need to charge your phones, there are an additional two USB ports under the table (in addition to the two up top)","51.5158624652,0.0776018331432"
Go for Port!,"51.5079147265,-0.122904925519"
"Port, tapas, desserts!!","51.5098930921,-0.123000728301"
They also sell lots of vintage port.,"51.5128718234,-0.0840724934516"
"This fascinating museum is located in an old Georgian sugar warehouse, and tells the 2,000 year story of London’s river, port and people. It also houses the archives of the Port of London Authority.","51.509326777,-0.0230004751717"
Port by the jug!,"51.5064447361,-0.0883782731326"
On top of Trinity Square stands the statue of Old Father Thames who is seen to point the way to Docklands from his perch above the Port of London Authority.,"51.5098609391,-0.0774568319321"
"Room facilities are superb - free wifi, USB wall port, hdmi / rgb / s-video ports to TV, and iHome docking station.","51.4988548227,-0.106272994492"
"You can sip Port in the old arched cellars. The last Vintage Port to be bottled here was Sandeman 1955, and if you are lucky there will be some on the menu!","51.5118562528,-0.0890447957003"
"The classic menu of mixeds includes this Master at Arms (rum & port reduction), and the Somerset Sour, whose cider brandy & hard cider will soon be inside you.","51.5226437844,-0.103564954219"
"Every time we eat here we are impressed by the freshness of the food and flavours. Love the spicy sardines on toast, butter bean and chorizo stew, and salad with cheese, walnuts and port reduction!","51.5106121418,-0.0969672203064"
port paling senang nak makan,"51.4605283522,-0.0109892084369"
Quirky drinks selection and menu. Pretty sure they've tried to rebrand  granny's fab sherry as 'white port' though...,"51.5430521138,-0.0760576647354"
"Great English Breakfast, eggs benedict... Generous port ion and friendly people. Best Shop after the Columbia Road Flower Market","51.5310080172,-0.0714768807763"
"Have a G&T on the roof terrace in summer, or a glass of port by a roaring fire in winter.","51.505743712,-0.136654783766"
"Clean restroom upstairs, spaces to sit, free wifi, free water, free USB ports, coffee and snacks in the cafe... Oh and there's yoga pants for sale.","51.5126239965,-0.140280763599"
"A hidden gem in Southwark! Elegant old timey interiors, good selection of wines and ports, and the food looked good as well (although I didn't have any)","51.5041903154,-0.0933535165839"
"Amazing beer selection. Especially good US west coast beers that are harder to get in London like Stone, Rogue and event Port.","51.4739771278,-0.0904854796835"
"Ask for the bartender Leo Colson. He will make your cocktail dreams come true. I got a cocktail with Ardbeg Uigeadail, port wine and some liqueur. Looked like Rosé but tasted nothing like it ;)","51.5167471486,-0.136463582029"
Flan in port caramel is small but sweet and the meringue with fennel is like cutting into a cloud,"51.5195750202,-0.0751656121382"
"Best wine ever, must try warre's otima 10 years old tawny port","51.511960081,-0.122361266336"
"USB charging ports and spare seats, miss the rush in the main area and walk down towards gate 5 for some space","51.50409,0.049424"
"Best pho out of Vietnam! I had the spicy crab, prawn and belly port noodles. Yum!","51.5645120364,-0.104073569716"
USB powered ports in the room are very useful,"51.5206669164,-0.10008185436"
"Cute little place, worth seeking out.  Not as old but does for Sherry what Gordon's does for port.  Friendly staff, they let you try before you buy.","51.5311961218,-0.121648632641"
"Did you know that Royal Navy ships that enter the Port of London must still provide the Constable of the Tower of London with a barrel of rum? I wish I was him, I bet he'd be drunk most of his life.","51.5082750261,-0.0763249397278"
Tried the Italian Sex Monkey super hot 12 year Scotch and a twist of Port.,"51.5373358136,-0.0612713881645"
"great variety of unique jelly/jam flavors: Port & Walnut, Lime & Tequila, etc","51.5169053213,-0.150704109482"
On some tables they offer little wireless charging dongles. Simply plug the little disk-shaped device into your charging port and place your phone on the charging plate on your table!,"51.515607,-0.089479"
I love this place. So much so that I'm reluctant to mention that they once ran out of port.,"51.5258760918,-0.0777742599575"
"Game day special, half ribs, pulled port, wings, coleslaw, fries and half pint of beer","51.5097532271,-0.0791013225723"
The Savoy Daisy by Daniel Baernreuther is one of the American Bar signature cocktails created to be featured at the Savoy Cocktail Book. It is a beautiful cocktail with Reserva Exclusiva and Ruby Port,"51.5101179155,-0.119802681751"
"Double check they're doing what you ask them to do. I went in to port a number over, god knows what they were doing on the PC but the port didn't happen.","51.4867901022,0.283716447287"
"Big portions, lovely grub. Mind the apple tarte - the fruit's cooked in port.","51.5403342606,-0.154175870853"
The flavors are inventive and whimsical: Elderflower! Salted caramel! The Gingerbread is delish. The Stilton and port would be a fab amuse bouche.,"51.5556180017,-0.139307501479"
Britain's premier shop for maps of the UK and far flung places. Also Michael Palin's first port of call when he needs a map and inflatable globe for his BBC documentary travels.,"51.5119595143,-0.126024722223"
Have the really bloody mary (with a dash of port). Deeelish. The orange mojito is not too bad either.,"51.5156217605,-0.134513048012"
"I LOVE the Sardines, Steak fillet, port fillet and custard for dessert. I tried many plates but these are the best one.","51.5048900731,-0.0904977570216"
"30 January: Passengers once stayed here before setting off by stagecoach from ancient Watling Street for Canterbury: either as pilgrims, or heading for the sea ports beyond, bound for the continent.","51.5043132424,-0.0898713425114"
"Home of the annual Chap Olympiad in July, featuring umbrella jousting, hobbyhorse dressage, and passing the port. Best picnic afternoon of the summer!","51.5192134626,-0.130204265622"
Out of vodka and pint glasses. The staff don't know what port is. But otherwise... Its ok,"51.5221800513,-0.0452538562809"
Another fantastic drop in tasting on Monday. Great Sake and luscious Kope Colheita Tawny Port.,"51.5108031994,-0.147450277547"
Try the White port.  It is excellent!,"51.5080205631,-0.123807321922"
"Friendly staff, located within walking distance to many shops and restaurants, and close to bus and tube stops. HDMI a port on wall to connect devices to TV. Candles after cleaning were a nice touch.","51.5104159848,-0.126846250478"
Venison pie with port and blackcurrant gravy is pretty cool.,"51.5139202086,-0.110635472837"
"Cool, yet unpretentious coffee house. Not many power ports so not set up for working, but great coffee and LWLies/Huck mags to read. Chill out spot","51.5193184539,-0.10918546579"
Port is brilliant! Simon Stevens is the bomb!! Back row of the Lyttleton theatre and everything was seen perfectly.,"51.5074243849,-0.114820187776"
Welcoming homely port scotch,"51.4735354996,-0.174023004408"
In it's former hay day. Used to be one the busiest port in london,"51.5115335952,-0.038764199911"
"Lovely place, lost many an evening there - favourite port in London","51.514751881,-0.124711990356"
Monmouth Coffee - port of call!,"51.5320262036,-0.12609168991"
Free wifi from some of the cafes. No general wifi available and no public phone charging ports. Wifi easier to access from Kings Cross over the road.,"51.5316837784,-0.126120230333"
tawny port is grand,"51.513533456,-0.132500422682"
"Nice pint , but no bloody port?  #fail","51.506074689,-0.0828909873962"
cool circular bar..... after a certain amount of liquid u might want to check the loo ports...!!!,"51.5128461445,-0.141567708268"
Always a welcome port in the walk back to the digs from the show... Good beer rotation. Sit in the window and enjoy...,"51.5181540448,-0.116245713648"
Good WiFi facilities for working! Lots of ports for power and private seating!,"51.4632874529,-0.215803182508"
"The cocktails were good & the selection of port. The food is great. Had the pork belly & it was divine! Good portion sizes. Although pricier than most pubs, but worth it. Ambience is good as well!","51.4936772418,-0.150791362571"
The port tasted liked cherries and chocolate :),"51.5133849496,-0.136549540362"
If you must. Recently has been going downhill including poor service + luke warm pasta. Carluccio's is just up the road that would probably be my first port of call - cheaper and better pasta.,"51.5110372599,-0.12479442092"
"A bit hidden away,  seems a city haunt, reasonable price for a pint,  and you can have the pint in a pewter tankard if you wish. Food, wine and port too.","51.5189848945,-0.0861806642837"
"I ordered a bottle of port ( ""in stock"" ) and when I placed the order they sent me an invoice. after payment they told me its stuck in customs. I then had to cancel my order and haggle for a refund.","51.518236,-0.107834"
"Tourist trap. Don't stock, or know about, port.","51.5117751179,-0.123010389176"
The Docks and Diving gallery on the 2nd floor features a 1:2500 scale model of the 1960s Port of London previously displayed in the foyer of the Port of London Authority’s HQ. Find your maritime story,"51.4973761322,-0.174565448853"
"Love, love, love this place. Always my first port of call when in London. Just wish we had one in Cheshire :-(","51.5019825711,-0.19053809894"
The barman doesn't put port into American Psychos because he likes ripping people off. Avoid!,"51.5334901956,-0.110672774951"
The street takes its name from Admiral Vernon’s 1739 conquest of the Spanish port of Portobelo in modern-day Panama. On Saturdays it’s now home to a famous antiques and street market.,"51.5148720438,-0.204393223437"
